순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),정량합계,정성합계,최종점수,메모
128,"Yum! Brands, Inc.",YUM,NYQ,28.9,5,-,0,1.8,2,O,5,8,4,0.0,5,O,7,,,,,,,28,=SUM(S129:X129),=Y129+Z129,
129,"Darden Restaurants, Inc.",DRI,NYQ,20.6,5,10.81,0,3.0,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S130:X130),=Y130+Z130,
130,KKR & Co. Inc.,KKR,NYQ,37.4,5,2.87,0,0.8,2,O,5,6,4,0.0,5,O,7,,,,,,,28,=SUM(S131:X131),=Y131+Z131,
131,"Allison Transmission Holdings, ",ALSN,NYQ,17.2,5,5.73,0,0.8,2,O,5,6,4,0.0,5,O,7,,,,,,,28,=SUM(S132:X132),=Y132+Z132,
132,Jacobs Solutions Inc.,J,NYQ,34.9,5,4.39,0,1.0,2,O,5,7,4,0.0,5,O,7,,,,,,,28,=SUM(S133:X133),=Y133+Z133,
133,Pentair plc.,PNR,NYQ,22.8,5,3.85,0,1.1,2,O,5,6,4,0.0,5,O,7,,,,,,,28,=SUM(S134:X134),=Y134+Z134,
134,"PulteGroup, Inc.",PHM,NYQ,10.8,5,1.84,0,0.8,2,O,5,8,4,0.0,5,O,7,,,,,,,28,=SUM(S135:X135),=Y135+Z135,
135,Service Corporation Internation,SCI,NYQ,21.7,5,7.18,0,1.6,2,O,5,12,5,1.6,4,O,7,,,,,,,28,=SUM(S136:X136),=Y136+Z136,
136,Warner Music Group Corp.,WMG,NMS,49.2,5,20.83,0,2.6,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S137:X137),=Y137+Z137,
137,"Tapestry, Inc.",TPR,NYQ,61.3,5,58.09,0,1.0,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S138:X138),=Y138+Z138,
138,"Motorola Solutions, Inc.",MSI,NYQ,34.5,5,30.86,0,1.0,2,O,5,14,5,1.0,4,O,7,,,,,,,28,=SUM(S139:X139),=Y139+Z139,
139,"Monolithic Power Systems, Inc.",MPWR,NMS,105.6,5,18.58,0,0.5,2,O,5,8,4,0.0,5,O,7,,,,,,,28,=SUM(S140:X140),=Y140+Z140,
140,SBA Communications Corporation,SBAC,NMS,22.1,5,-,0,2.0,2,O,5,6,4,0.0,5,O,7,,,,,,,28,=SUM(S141:X141),=Y141+Z141,
141,Cognizant Technology Solutions ,CTSH,NMS,12.8,5,1.90,0,2.1,2,O,5,6,4,0.0,5,O,7,,,,,,,28,=SUM(S142:X142),=Y142+Z142,
142,Millicom International Cellular,TIGO,NMS,10.5,5,3.81,0,5.4,7,O,5,0,0,1.1,4,O,7,,,,,,,28,=SUM(S143:X143),=Y143+Z143,
143,Broadcom Inc.,AVGO,NMS,69.5,5,21.72,0,0.7,2,O,5,6,4,0.0,5,O,7,,,,,,,28,=SUM(S144:X144),=Y144+Z144,
144,Royalty Pharma plc,RPRX,NMS,34.8,5,4.15,0,1.8,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S145:X145),=Y145+Z145,
145,Willis Towers Watson Public Lim,WTW,NMS,17.4,5,3.50,0,1.3,2,O,5,9,4,0.0,5,O,7,,,,,,,28,=SUM(S146:X146),=Y146+Z146,
146,Howmet Aerospace Inc.,HWM,NYQ,68.1,5,19.17,0,0.2,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S147:X147),=Y147+Z147,
147,"HCA Healthcare, Inc.",HCA,NYQ,17.2,5,-,0,0.6,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S148:X148),=Y148+Z148,
148,"Corteva, Inc.",CTVA,NYQ,51.5,5,2.34,0,0.8,2,O,5,6,4,0.0,5,O,7,,,,,,,28,=SUM(S149:X149),=Y149+Z149,
149,"Texas Roadhouse, Inc.",TXRH,NMS,26.9,5,7.46,0,1.7,2,O,5,5,4,0.0,5,O,7,,,,,,,28,=SUM(S150:X150),=Y150+Z150,
150,Garmin Ltd.,GRMN,NYQ,29.9,5,5.54,0,1.3,2,O,5,8,4,1.2,4,O,7,,,,,,,27,=SUM(S151:X151),=Y151+Z151,
