순위,종목명,종목코드,시장,PER,PER점수(/10),ROE(%),ROE점수(/15),FCF수익률(%),FCF점수(/10),PBR,PBR점수(/5),PEG,PEG점수(/10),부채비율(%),부채비율점수(/10),배당수익률(%),배당수익률점수(/10),배당성장연수(년),배당성장점수(/10),소각여부,소각점수(/10),정량합계,경제적해자(0~10직접입력),최종예상점수,메모
224,AngloGold Ashanti PLC,AU,NYQ,19.4,0,32.6,15,6.5,7,6.30,3,0.21,10,63.8,4,2.5,2,2,0,X,0,41,,=W225+X225,
225,"T-Mobile US, Inc.",TMUS,NMS,20.3,0,18.9,10,7.2,7,3.83,2,0.30,10,284.2,0,1.9,2,2,0,O,10,41,,=W226+X226,
226,Ambev S.A.,ABEV,NYQ,16.4,0,17.3,10,38.6,10,2.89,2,7.98,0,57.6,7,2.1,2,0,0,O,10,41,,=W227+X227,
227,"Tapestry, Inc.",TPR,NYQ,52.4,0,94.8,15,4.0,4,49.68,3,-,0,1084.9,0,1.1,2,5,6,O,10,40,,=W228+X228,
228,"Merck & Company, Inc.",MRK,NYQ,31.1,0,19.5,10,4.5,4,6.05,2,3.68,0,180.4,2,2.9,2,15,10,O,10,40,,=W229+X229,
229,"Eaton Corporation, PLC",ETN,NYQ,38.9,0,20.2,15,2.3,2,7.88,3,2.01,0,179.1,2,1.0,2,5,6,O,10,40,,=W230+X230,
230,Oracle Corporation,ORCL,NYQ,35.0,0,42.1,15,-0.1,0,14.72,3,1.61,0,535.6,0,1.0,2,12,10,O,10,40,,=W231+X231,
231,"Nasdaq, Inc.",NDAQ,NMS,26.6,0,15.9,10,3.9,4,4.23,2,2.42,0,126.8,2,1.2,2,13,10,O,10,40,,=W232+X232,
232,Broadcom Inc.,AVGO,NMS,80.8,0,31.3,15,1.3,2,25.25,3,3.74,0,112.7,2,0.6,2,6,6,O,10,40,,=W233+X233,
233,Deutsche Bank AG,DB,NYQ,8.5,5,9.1,0,75.7,10,0.65,3,0.85,7,1798.9,0,2.4,2,3,3,O,10,40,,=W234+X234,
234,Murphy USA Inc.,MUSA,NYQ,26.0,0,66.9,15,3.4,4,17.43,3,-,0,657.9,0,0.4,2,5,6,O,10,40,,=W235+X235,
235,Barclays PLC,BCS,NYQ,9.9,5,9.5,0,21.1,10,0.92,3,0.80,7,2110.0,0,1.9,2,4,3,O,10,40,,=W236+X236,
236,"America Movil, S.A.B. de C.V.",AMX,NYQ,16.0,0,20.1,15,175.8,10,3.76,3,3.26,0,322.8,0,1.0,2,0,0,O,10,40,,=W237+X237,
237,CGI Inc.,GIB,NYQ,12.1,2,16.8,10,13.5,10,3.53,2,1.79,0,93.0,4,0.5,2,1,0,O,10,40,,=W238+X238,
238,HPSP,403870,KOSPI/KOSDAQ,59.9,0,25.6,15,-0.1,0,15.33,3,-,0,19.7,10,1.1,2,0,0,O,10,40,,=W239+X239,
239,General Dynamics Corporation,GD,NYQ,22.0,0,16.6,10,4.2,4,3.66,2,2.67,0,126.3,2,1.7,2,12,10,O,10,40,,=W240+X240,
240,Marathon Petroleum Corporation,MPC,NYQ,18.0,0,23.4,15,6.6,7,4.20,3,-,0,345.8,0,1.5,2,4,3,O,10,40,,=W241+X241,
241,GS,078930,KOSPI/KOSDAQ,7.1,7,5.5,0,-25.5,0,0.39,4,0.35,10,89.7,4,3.8,5,2,0,O,10,40,,=W242+X242,
242,"Cencora, Inc.",COR,NYQ,55.1,0,47.5,15,6.4,7,26.18,3,-,0,3996.4,0,0.9,2,3,3,O,10,40,,=W243+X243,
243,한국금융지주,071050,KOSPI/KOSDAQ,7.0,7,17.3,10,-0.1,0,1.21,5,0.07,10,954.2,0,3.2,5,3,3,X,0,40,,=W244+X244,
244,"Darden Restaurants, Inc.",DRI,NYQ,20.4,0,52.5,15,4.5,4,10.74,3,3.28,0,512.6,0,3.0,2,5,6,O,10,40,,=W245+X245,
245,"The Ensign Group, Inc.",ENSG,NMS,28.6,0,15.4,10,3.6,4,4.39,2,2.05,0,137.0,2,0.1,2,18,10,O,10,40,,=W246+X246,
246,한국전력공사,015760,KOSPI/KOSDAQ,3.3,10,18.1,10,-56.0,0,0.59,5,0.02,10,430.0,0,3.5,5,1,0,X,0,40,,=W247+X247,
247,Gen Digital Inc.,GEN,NMS,20.7,0,25.9,15,9.7,10,5.35,3,-,0,578.9,0,2.5,2,0,0,O,10,40,,=W248+X248,
248,달바글로벌,483650,KOSPI/KOSDAQ,35.3,0,38.8,15,-0.0,0,13.69,3,0.09,10,26.6,10,1.0,2,2,0,X,0,40,,=W249+X249,
249,Antero Midstream Corporation,AM,NYQ,24.7,0,21.2,15,7.6,7,5.24,3,3.04,0,230.8,0,4.2,5,0,0,O,10,40,,=W250+X250,
250,"J.B. Hunt Transport Services, I",JBHT,NMS,37.1,0,17.3,10,4.1,4,6.41,2,-,0,120.6,2,0.7,2,12,10,O,10,40,,=W251+X251,
